fiscalDateEnding,totalRevenue,netIncome,ticker
30/06/2024,6624000000,616000000,FCX
31/03/2024,6321000000,473000000,FCX
31/12/2023,5905000000,388000000,FCX
30/09/2023,5824000000,454000000,FCX
30/06/2023,5737000000,343000000,FCX
31/03/2023,5389000000,663000000,FCX
31/12/2022,5758000000,697000000,FCX
30/09/2022,5003000000,404000000,FCX
30/06/2022,5416000000,840000000,FCX
31/03/2022,6603000000,2281000000,FCX
31/12/2021,6164000000,3224000000,FCX
30/09/2021,6083000000,1399000000,FCX
30/06/2021,5748000000,1083000000,FCX
31/03/2021,4850000000,718000000,FCX
31/12/2020,4495000000,708000000,FCX
30/09/2020,3851000000,329000000,FCX
30/06/2020,3054000000,53000000,FCX
31/03/2020,2798000000,-491000000,FCX
31/12/2019,3911000000,9000000,FCX
30/09/2019,3153000000,-207000000,FCX
30/06/2024,5833000000,709000000,HAL
31/03/2024,5804000000,606000000,HAL
31/12/2023,5741000000,661000000,HAL
30/09/2023,5804000000,716000000,HAL
30/06/2023,5798000000,610000000,HAL
31/03/2023,5677000000,651000000,HAL
31/12/2022,5585000000,656000000,HAL
30/09/2022,5357000000,544000000,HAL
30/06/2022,5074000000,109000000,HAL
31/03/2022,4242000000,263000000,HAL
31/12/2021,4281000000,824000000,HAL
30/09/2021,3860000000,236000000,HAL
30/06/2021,3707000000,227000000,HAL
31/03/2021,3451000000,170000000,HAL
31/12/2020,3241000000,-235000000,HAL
30/09/2020,2975000000,-17000000,HAL
30/06/2020,3196000000,-1676000000,HAL
31/03/2020,4869000000,-1017000000,HAL
31/12/2019,5192000000,-1653000000,HAL
30/09/2019,5551000000,295000000,HAL
30/06/2024,6817000000,1162000000,OXY
31/03/2024,5975000000,888000000,OXY
31/12/2023,7172000000,1198000000,OXY
30/09/2023,7158000000,1375000000,OXY
30/06/2023,6702000000,860000000,OXY
31/03/2023,7225000000,1263000000,OXY
31/12/2022,8219000000,1927000000,OXY
30/09/2022,9390000000,2746000000,OXY
30/06/2022,10676000000,3755000000,OXY
31/03/2022,8349000000,4876000000,OXY
31/12/2021,7913000000,1537000000,OXY
